rank,Name,GDP_Per_Capita,Population
1,United States,"$66,302","334,805,269"
2,China,"$10,679","1,448,471,400"
3,Japan,"$43,759","125,584,838"
4,Germany,"$49,558","83,883,596"
5,India,"$2,316","1,406,631,776"
6,United Kingdom,"$42,732","68,497,907"
7,France,"$43,853","65,584,518"
8,Italy,"$34,689","60,262,770"
9,Brazil,"$9,577","215,353,593"
10,Canada,"$47,735","38,388,419"
11,South Korea,"$33,983","51,329,899"
12,Russia,"$11,436","145,805,947"
13,Spain,"$32,044","46,719,142"
14,Australia,"$56,829","26,068,792"
15,Mexico,"$9,864","131,562,772"
16,Indonesia,"$4,331","279,134,505"
17,Netherlands,"$55,482","17,211,447"
18,Turkey,"$9,462","85,561,976"
19,Saudi Arabia,"$22,041","35,844,909"
20,Switzerland,"$84,424","8,773,637"
21,Poland,"$17,045","37,739,785"
22,Taiwan,"$26,527","23,888,595"
23,Sweden,"$56,436","10,218,971"
24,Belgium,"$47,460","11,668,278"
25,Thailand,"$7,812","70,078,203"
26,Argentina,"$11,201","46,010,234"
27,Nigeria,"$2,289","216,746,934"
28,Iran,"$5,762","86,022,837"
29,Austria,"$53,126","9,066,710"
30,United Arab Emirates,"$44,549","10,081,785"
31,Norway,"$79,585","5,511,370"
32,Ireland,"$80,711","5,020,199"
33,Israel,"$45,272","8,922,892"
34,Hong Kong,"$52,869","7,604,299"
35,Malaysia,"$12,115","33,181,072"
36,Singapore,"$65,933","5,943,546"
37,Philippines,"$3,458","112,508,994"
38,South Africa,"$6,365","60,756,135"
39,Denmark,"$62,476","5,834,950"
40,Colombia,"$6,849","51,512,762"
41,Bangladesh,"$2,045","167,885,689"
42,Egypt,"$3,121","106,156,692"
43,Chile,"$16,289","19,250,195"
44,Finland,"$52,069","5,554,960"
45,Vietnam,"$2,854","98,953,541"
46,Romania,"$13,826","19,031,335"
47,Czech Republic,"$24,191","10,736,784"
48,Portugal,"$24,645","10,140,570"
49,Iraq,"$5,856","42,164,965"
50,Peru,"$7,249","33,684,208"
51,Greece,"$22,343","10,316,637"
52,New Zealand,"$45,924","4,898,203"
