Name,Disconted Price,original Price,discount
"POCO C31 (Royal Blue, 32 GB)","₹7,999",₹,27% off
"POCO C31 (Shadow Gray, 64 GB)","₹9,499",₹,21% off
"POCO C31 (Royal Blue, 64 GB)","₹9,499",₹,21% off
"POCO M3 Pro 5G (Power Black, 64 GB)","₹11,999",₹,25% off
"POCO C31 (Shadow Gray, 32 GB)","₹7,999",₹,27% off
"POCO M3 Pro 5G (Cool Blue, 128 GB)","₹13,999",₹,22% off
"POCO M3 Pro 5G (Cool Blue, 64 GB)","₹11,999",₹,25% off
"POCO M3 Pro 5G (Yellow, 64 GB)","₹11,999",₹,25% off
"POCO M3 Pro 5G (Power Black, 128 GB)","₹13,999",₹,22% off
"POCO M3 Pro 5G (Yellow, 128 GB)","₹13,999",₹,22% off
"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹16,999",₹,15% off
"POCO M4 Pro 5G (Power Black, 128 GB)","₹16,999",₹,15% off
"POCO M4 Pro 5G (Yellow, 128 GB)","₹16,999",₹,15% off
"POCO M4 Pro 5G (Cool Blue, 64 GB)","₹14,999",₹,12% off
"POCO M4 Pro (Cool Blue, 64 GB)","₹14,999",₹,17% off
"POCO M4 Pro 5G (Power Black, 64 GB)","₹14,999",₹,12% off
"POCO C3 (Matte Black, 64 GB)","₹9,599",₹,13% off
"POCO M4 Pro (Power Black, 64 GB)","₹14,999",₹,17% off
"POCO M4 Pro 5G (Power Black, 128 GB)","₹18,999",₹,14% off
"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹18,999",₹,14% off
"POCO M4 Pro (Power Black, 128 GB)","₹16,499",₹,18% off
"POCO M4 Pro 5G (Yellow, 64 GB)","₹14,999",₹,12% off
"POCO M4 Pro (Cool Blue, 128 GB)","₹16,499",₹,18% off
"POCO M4 Pro 5G (Yellow, 128 GB)","₹18,999",₹,14% off
Name,Disconted Price,original Price,discount
"POCO C31 (Royal Blue, 32 GB)","₹7,999",₹,27% off
"POCO C31 (Shadow Gray, 64 GB)","₹9,499",₹,20% off
"POCO C31 (Royal Blue, 64 GB)","₹9,499",₹,20% off
"POCO M3 Pro 5G (Power Black, 64 GB)","₹11,999",₹,25% off
"POCO C31 (Shadow Gray, 32 GB)","₹7,999",₹,27% off
"POCO M3 Pro 5G (Cool Blue, 128 GB)","₹13,999",₹,22% off
"POCO M3 Pro 5G (Cool Blue, 64 GB)","₹11,999",₹,25% off
"POCO M3 Pro 5G (Yellow, 64 GB)","₹11,999",₹,25% off
"POCO M3 Pro 5G (Power Black, 128 GB)","₹13,999",₹,22% off
"POCO M3 Pro 5G (Yellow, 128 GB)","₹13,999",₹,22% off
"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹16,999",₹,15% off
"POCO M4 Pro 5G (Power Black, 128 GB)","₹16,999",₹,15% off
"POCO M4 Pro 5G (Yellow, 128 GB)","₹16,999",₹,15% off
"POCO M4 Pro 5G (Cool Blue, 64 GB)","₹14,999",₹,11% off
"POCO M4 Pro (Cool Blue, 64 GB)","₹14,999",₹,16% off
"POCO M4 Pro 5G (Power Black, 64 GB)","₹14,999",₹,11% off
"POCO C3 (Matte Black, 64 GB)","₹9,599",₹,12% off
"POCO M4 Pro (Power Black, 64 GB)","₹14,999",₹,16% off
"POCO M4 Pro 5G (Power Black, 128 GB)","₹18,999",₹,13% off
"POCO M4 Pro 5G (Cool Blue, 128 GB)","₹18,999",₹,13% off
"POCO M4 Pro (Power Black, 128 GB)","₹16,499",₹,17% off
"POCO M4 Pro 5G (Yellow, 64 GB)","₹14,999",₹,11% off
"POCO M4 Pro (Cool Blue, 128 GB)","₹16,499",₹,17% off
"POCO M4 Pro 5G (Yellow, 128 GB)","₹18,999",₹,13% off
"POCO M4 Pro (Power Black, 128 GB)","₹17,999",₹,18% off
"POCO M2 Pro (Out of the Blue, 64 GB)","₹14,999",₹,16% off
"POCO M4 Pro (Cool Blue, 128 GB)","₹17,999",₹,18% off
"POCO F3 GT (Predator Black, 128 GB)","₹28,999",₹,17% off
"POCO C3 (Lime Green, 32 GB)","₹8,549",₹,14% off
"POCO F3 GT (Gunmetal Silver, 128 GB)","₹28,999",₹,17% off
"POCO M2 Pro (Green and Greener, 64 GB)","₹13,999",₹,17% off
"POCO C3 (Arctic Blue, 32 GB)","₹8,549",₹,14% off
"POCO M2 Pro (Two Shades of Black, 64 GB)","₹13,999",,
"POCO X3 (Cobalt Blue, 64 GB)","₹18,990",,
"POCO C3 (Matte Black, 32 GB)","₹8,549",₹,14% off
"POCO M3 (Power Black, 64 GB)","₹10,999",₹,8% off
"POCO M2 Pro (Green and Greener, 128 GB)","₹15,999",₹,20% off
"POCO M2 Pro (Out of the Blue, 64 GB)","₹14,999",,
"POCO X3 Pro (Graphite Black, 128 GB)","₹19,999",₹,16% off
"POCO X3 Pro (Steel Blue, 128 GB)","₹21,999",₹,15% off
"POCO X3 Pro (Steel Blue, 128 GB)","₹19,999",₹,16% off
"POCO X3 Pro (Golden Bronze, 128 GB)","₹19,999",₹,16% off
"POCO X3 Pro (Graphite Black, 128 GB)","₹21,999",₹,15% off
