release_date,Movie_name,audience_score
,,
25 March 2022,RRR,88
31 March 2022,Sharmaji Namkeen,60
01 April 2022,Attack - Part I,80
07 April 2022,Dasvi,100
14 April 2022,K.G.F - Chapter 2,90
14 April 2022,Jersey,72
22 April 2022,The Conversion,88
29 April 2022,Heropanti 2,80
29 April 2022,Runway 34,72
06 May 2022,Rocket Gang,34
13 May 2022,Jayeshbhai Jordaar,73
13 May 2022,Aankh Micholi,80
13 May 2022,Anek,72
20 May 2022,Bhool Bhulaiyaa 2,76
20 May 2022,Hit - The First Case,70
20 May 2022,Mrs. Chatterjee Vs Norway,43
27 May 2022,Dhaakad,68
27 May 2022,Major,70
03 June 2022,Maidaan,65
03 June 2022,Prithviraj,70
10 June 2022,Mission Majnu,69
10 June 2022,Govinda Naam Mera,38
17 June 2022,Doctor G,60
17 June 2022,No Means No,62
24 June 2022,Jugjugg Jeeyo,59
01 July 2022,Rocketry - The Nambi Effect,73
01 July 2022,Om: The Battle Within,34
08 July 2022,Ek Villain Returns,76
15 July 2022,PhoneBhoot,50
22 July 2022,Shamshera,70
29 July 2022,Thank God,70
11 August 2022,Laal Singh Chaddha,74
11 August 2022,Raksha Bandhan,68
15 August 2022,Garud,70
25 August 2022,Liger,69
09 September 2022,Brahmastra,66
30 September 2022,Vikram Vedha Remake,64
05 October 2022,Tejas,67
05 October 2022,White,43
07 October 2022,Mr And Mrs Mahi,38
24 October 2022,Ram Setu,72
04 November 2022,Shehzada,42
11 November 2022,Yodha,67
25 November 2022,Bhediya,61
09 December 2022,Pippa,72
16 December 2022,Avatar 2 (English),69
23 December 2022,Ganapath - Part 1,68
23 December 2022,Merry Christmas,50
30 December 2022,Bhaijaan,69
12 January 2023,Adipurush,64
25 January 2023,Pathaan,73
26 January 2023,Tehran,67
10 February 2023,Rocky Aur Rani Ki Prem Kahani,55
08 March 2023,Luv Ranjan's next starring Ranbir Kapoor,34
07 April 2023,Bull,50
21 April 2023,Tiger 3,64
11 August 2023,Animal,53
28 September 2023,Fighter,72
22 December 2023,Bade Miyan Chote Miyan,72
